C+ID,CONJUNTO,STATUS,ASESOR,FECHA,GÉNERO,EDAD,PAÍS,CIUDAD,PROFESIÓN,OCUPACIÓN,ESTADO CIVIL,INGRESOS MENSUALES,CANALES
XH4,X,VENDIDO,ANDREA OROZCO,10/5/2024,MUJER,33,COLOMBIA,JAMUNDÍ,PSICOLOGA,EMPLEAD@,UNIÓN LIBRE,"$4,000,000",SOY REFERIDO
XH5,X,DISPONIBLE,, ,,,,,,,,,
XH6,X,DISPONIBLE,, ,,,,,,,,,
XH7,X,DISPONIBLE,, ,,,,,,,,,
XH8,X,DISPONIBLE,, ,,,,,,,,,
XH9,X,DISPONIBLE,, ,,,,,,,,,
XH10,X,DISPONIBLE,, ,,,,,,,,,
XH11,X,VENDIDO,ISABEL ARBOLEDA,16/2/2025,HOMBRE,43,COLOMBIA,CALI,ADMINISTRADOR,EMPLEAD@,UNIÓN LIBRE,$4.000.000,LOS VI EN REDES
XH12,X,VENDIDO,ISABEL ARBOLEDA,16/2/2025,HOMBRE,43,COLOMBIA,CALI,ADMINISTRADOR,EMPLEAD@,UNIÓN LIBRE,$4.000.000,LOS VI EN REDES
XH13,X,VENDIDO,GABRIELA RODRIGUEZ,22/4/2025,HOMBRE,42,COLOMBIA,CALI,INGENIERO CIVIL,EMPLEAD@,SOLTER@,$4.000.000,LOS VI EN REDES
XH14,X,DISPONIBLE,, ,,,,,,,,,
XH15,X,DISPONIBLE,, ,,,,,,,,,
XH16,X,DISPONIBLE,, ,,,,,,,,,
XH17,X,DISPONIBLE,, ,,,,,,,,,
XH18,X,DISPONIBLE,, ,,,,,,,,,
XH19,X,DISPONIBLE,, ,,,,,,,,,
XH20,X,DISPONIBLE,, ,,,,,,,,,
XH21,X,DISPONIBLE,, ,,,,,,,,,
XH22,X,DISPONIBLE,, ,,,,,,,,,
XH23,X,DISPONIBLE,, ,,,,,,,,,
XH24,X,DISPONIBLE,, ,,,,,,,,,
XH25,X,DISPONIBLE,, ,,,,,,,,,
XH26,X,DISPONIBLE,, ,,,,,,,,,
XH27,X,DISPONIBLE,, ,,,,,,,,,
XH28,X,DISPONIBLE,, ,,,,,,,,,
XH29,X,DISPONIBLE,, ,,,,,,,,,
XH30,X,DISPONIBLE,, ,,,,,,,,,
XH31,X,DISPONIBLE,, ,,,,,,,,,
XH32,X,VENDIDO,ISABEL ARBOLEDA,15/10/2024,HOMBRE,24,COLOMBIA,CALI,INGENIERO INDUSTRIAL,EMPLEAD@,SOLTER@,$4.500.000,SOY REFERIDO
XH33,X,DISPONIBLE,, ,,,,,,,,,
XI1,X,DISPONIBLE,, ,,,,,,,,,
XI2,X,VENDIDO,DACION,1/4/2024,,,,,,,,,
XI3,X,VENDIDO,ANDREA OROZCO,8/7/2024,HOMBRE,31,COLOMBIA,CALI,EJECUTIVO BANCARIO,EMPLEAD@,SOLTER@,$4.000.000,LOS VI EN REDES
XI4,X,VENDIDO,JANIER VERA,24/6/2024,HOMBRE,39,COLOMBIA,CALI,ADMINISTRADOR PUBLICO,EMPLEAD@,CASAD@,$3.500.000,NO LOS CONOCÍA
XI5,X,VENDIDO,ISABEL ARBOLEDA,15/2/2025,MUJER,44,COLOMBIA,JAMUNDÍ,ASESORA DE VENTAS,EMPLEAD@,UNIÓN LIBRE,$3.000.000,LOS VI EN REDES
